Día,Hora,Total,Aplicativo,Marca,SEDE,Estado,Hora.1,Minuto,MA,Fecha
28,00/01/1900 17:26,"52,83",REST,ENTRE BROSTERS,AVIACION,ACEPTADO,17,26,10/2024,28/10/2024 17:26
28,00/01/1900 17:12,"10,96",REST,BRIOCHE,MAGDALENA,ACEPTADO,17,12,10/2024,28/10/2024 17:12
27,00/01/1900 22:47,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,22,47,10/2024,27/10/2024 22:47
28,00/01/1900 21:39,"17,16",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,21,39,10/2024,28/10/2024 21:39
28,00/01/1900 15:10,"19,82",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,15,10,10/2024,28/10/2024 15:10
28,00/01/1900 11:30,"20,17",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,11,30,10/2024,28/10/2024 11:30
28,00/01/1900 22:05,"33,25",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,22,5,10/2024,28/10/2024 22:05
28,00/01/1900 20:09,"32,34",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,20,9,10/2024,28/10/2024 20:09
28,00/01/1900 20:46,"34,88",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,20,46,10/2024,28/10/2024 20:46
28,00/01/1900 19:25,"32,34",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,19,25,10/2024,28/10/2024 19:25
27,00/01/1900 22:17,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,22,17,10/2024,27/10/2024 22:17
27,00/01/1900 22:18,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,22,18,10/2024,27/10/2024 22:18
27,00/01/1900 22:37,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,22,37,10/2024,27/10/2024 22:37
28,00/01/1900 20:36,"32,34",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,20,36,10/2024,28/10/2024 20:36
28,00/01/1900 14:52,"35,25",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,14,52,10/2024,28/10/2024 14:52
28,00/01/1900 16:10,"16,71",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,16,10,10/2024,28/10/2024 16:10
27,00/01/1900 22:37,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,22,37,10/2024,27/10/2024 22:37
28,00/01/1900 22:18,"16,48",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,22,18,10/2024,28/10/2024 22:18
28,00/01/1900 20:26,"48,9",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,20,26,10/2024,28/10/2024 20:26
28,00/01/1900 22:00,"48,9",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,22,0,10/2024,28/10/2024 22:00
28,00/01/1900 22:16,"14,74",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,22,16,10/2024,28/10/2024 22:16
28,00/01/1900 12:12,"13,74",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,12,12,10/2024,28/10/2024 12:12
28,00/01/1900 12:17,"10,32",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,12,17,10/2024,28/10/2024 12:17
28,00/01/1900 14:54,"6,95",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,14,54,10/2024,28/10/2024 14:54
28,00/01/1900 11:23,"5,95",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,11,23,10/2024,28/10/2024 11:23
28,00/01/1900 11:55,"20,59",REST,WILL & BILL,LOS OLIVOS,ACEPTADO,11,55,10/2024,28/10/2024 11:55
28,00/01/1900 14:39,"17,94",REST,CHIFA LIFA,LOS OLIVOS,ACEPTADO,14,39,10/2024,28/10/2024 14:39
28,00/01/1900 20:40,"51,27",REST,CHIFA LATO,LOS OLIVOS,ACEPTADO,20,40,10/2024,28/10/2024 20:40
